Menu,Secondary Service Tone
"Press 1 to speak with a technical support representative. For quotes, press 2.",2
"For technical support, press 8. For complaints, press 2. reservations inquiries, please press *.",*
"support inquiries, please press 9. If you need technical support, please press 3. If you need billing, please press 6. For returns, press *. Press 7 to speak with a for any else representative.",7
"complaints inquiries, please press 0. returns department can be reached by pressing 3. billing department can be reached by pressing 4. support inquiries, please press 5. estimates inquiries, please press #.",#
"For technical support, press 8. Press 3 to speak with a representatives representative.",3
"Press 9 to speak with a support representative. For technical support, press 6. If you need complaints, please press 8. billing inquiries, please press 4. for any else department can be reached by pressing 5.",5
"For billing, press 7. returns department can be reached by pressing 6. technical support inquiries, please press 3. Press 2 to speak with a complaints representative. Press 9 to speak with a customer support representative.",9
"complaints department can be reached by pressing 4. technical support inquiries, please press 1. If you need support, please press 9. billing inquiries, please press #. For sales, press 0.",0
Press 0 to speak with a support representative. Press 7 to speak with a reservations representative.,7
"If you need technical support, please press 9. billing department can be reached by pressing 6. For customer support, press 3.",3
"If you need technical support, please press 9. billing department can be reached by pressing 5. complaints department can be reached by pressing 2. If you need support, please press 3. Press * to speak with a estimates representative.",*
"technical support inquiries, please press 8. Press 2 to speak with a reservations representative.",2
"If you need support, please press 5. Press 0 to speak with a technical support representative. If you need returns, please press 6. complaints department can be reached by pressing #. If you need reservations, please press 4.",4
Press 0 to speak with a returns representative. Press * to speak with a billing representative. Press 5 to speak with a representatives representative.,5
"technical support inquiries, please press 0. For customer support, press *.",*
"returns department can be reached by pressing 8. For support, press 6. billing department can be reached by pressing 1. If you need technical support, please press 0. If you need reservations, please press 3.",3
"For support, press 6. For billing, press *. complaints department can be reached by pressing 7. For technical support, press 2. For reservations, press #.",#
billing department can be reached by pressing 8. Press * to speak with a representatives representative.,*
"support department can be reached by pressing 6. Press # to speak with a technical support representative. returns department can be reached by pressing 0. billing inquiries, please press 9. representatives department can be reached by pressing 1.",1
"technical support inquiries, please press 7. For estimates, press #.",#
"complaints inquiries, please press 1. If you need technical support, please press 6. returns inquiries, please press #. For billing, press 0. For representatives, press 9.",9
"For billing, press 9. For support, press 0. For returns, press *. customer support department can be reached by pressing 5.",5
"Press 1 to speak with a complaints representative. Press * to speak with a billing representative. returns department can be reached by pressing 8. If you need technical support, please press 3. Press 0 to speak with a for any else representative.",0
"Press # to speak with a technical support representative. Press 4 to speak with a billing representative. If you need representatives, please press 5.",5
"complaints department can be reached by pressing 3. For technical support, press 9. returns department can be reached by pressing #. For billing, press 0. Press 8 to speak with a customer support representative.",8
"For complaints, press 5. For returns, press 2. billing inquiries, please press 3. If you need support, please press 9. Press * to speak with a sales representative.",*
"If you need support, please press *. Press 0 to speak with a complaints representative. For quotes, press 2.",2
"If you need returns, please press 4. Press 0 to speak with a complaints representative. For sales, press 6.",6
"If you need technical support, please press 0. complaints department can be reached by pressing 9. For quotes, press 3.",3
"returns department can be reached by pressing 4. Press 7 to speak with a complaints representative. technical support inquiries, please press *. Press 6 to speak with a sales representative.",6
"Press 5 to speak with a complaints representative. technical support inquiries, please press 2. Press 6 to speak with a support representative. For billing, press 7. estimates department can be reached by pressing 0.",0
"For returns, press 8. technical support inquiries, please press 7. Press 1 to speak with a billing representative. support department can be reached by pressing *. For estimates, press 4.",4
"technical support department can be reached by pressing 7. complaints inquiries, please press 6. returns department can be reached by pressing 0. support inquiries, please press 9. For customer support, press 5.",5
"For support, press *. technical support inquiries, please press 1. Press 4 to speak with a reservations representative.",4
"technical support inquiries, please press 1. If you need billing, please press 0. Press 9 to speak with a returns representative. For support, press #. quotes inquiries, please press 8.",8
"For support, press 8. billing department can be reached by pressing 3. If you need complaints, please press 6. Press 7 to speak with a technical support representative. representatives department can be reached by pressing #.",#
"For technical support, press 0. If you need returns, please press 9. Press # to speak with a sales representative.",#
"Press 8 to speak with a technical support representative. Press 0 to speak with a billing representative. for any else inquiries, please press 5.",5
"technical support inquiries, please press 1. support inquiries, please press #. If you need billing, please press 7. If you need sales, please press 4.",4
"For returns, press 8. Press 3 to speak with a support representative. technical support department can be reached by pressing 2. Press 0 to speak with a for any else representative.",0
"If you need returns, please press *. If you need support, please press 1. If you need technical support, please press 7. sales inquiries, please press 9.",9
"If you need complaints, please press 5. If you need returns, please press 8. Press 0 to speak with a billing representative. estimates department can be reached by pressing 7.",7
"If you need technical support, please press 0. Press # to speak with a support representative. representatives department can be reached by pressing 7.",7
"If you need billing, please press *. quotes inquiries, please press 4.",4
"returns department can be reached by pressing 3. For complaints, press 1. If you need technical support, please press *. for any else inquiries, please press 5.",5
"For technical support, press #. support inquiries, please press 0. For returns, press 8. If you need billing, please press 7. for any else inquiries, please press *.",*
"Press 2 to speak with a complaints representative. For returns, press 4. support department can be reached by pressing 7. for any else department can be reached by pressing 6.",6
"Press 0 to speak with a complaints representative. For quotes, press 7.",7
"If you need billing, please press *. If you need estimates, please press 9.",9
"For support, press *. For sales, press 9.",9
"billing inquiries, please press 1. If you need technical support, please press #. Press 3 to speak with a reservations representative.",3
"If you need support, please press 4. If you need technical support, please press 7. billing inquiries, please press 3. Press 2 to speak with a complaints representative. For representatives, press 9.",9
"For technical support, press #. If you need returns, please press 2. For sales, press 0.",0
"For billing, press 9. support department can be reached by pressing 3. quotes inquiries, please press 4.",4
"For complaints, press 2. For returns, press 5. Press 8 to speak with a billing representative. For customer support, press 7.",7
"For support, press 5. For billing, press *. returns inquiries, please press 8. estimates inquiries, please press 7.",7
technical support department can be reached by pressing 0. Press 2 to speak with a quotes representative.,2
"Press 7 to speak with a technical support representative. For complaints, press #. For billing, press 2. estimates inquiries, please press 6.",6
"complaints inquiries, please press 7. For technical support, press 9. If you need billing, please press 3. For sales, press 1.",1
"complaints department can be reached by pressing 8. technical support inquiries, please press 0. For billing, press 4. for any else inquiries, please press *.",*
"Press 5 to speak with a billing representative. For complaints, press 6. representatives inquiries, please press 3.",3
"If you need complaints, please press 8. For sales, press 9.",9
"support department can be reached by pressing 4. If you need complaints, please press 3. Press 9 to speak with a representatives representative.",9
"If you need support, please press 3. For for any else, press 6.",6
Press 6 to speak with a returns representative. quotes department can be reached by pressing 7.,7
"billing inquiries, please press 0. For complaints, press 7. If you need customer support, please press 8.",8
"For support, press 0. for any else department can be reached by pressing 5.",5
"For technical support, press 5. Press 8 to speak with a billing representative. quotes inquiries, please press 9.",9
"If you need billing, please press 6. For returns, press 8. If you need representatives, please press 4.",4
"technical support inquiries, please press 7. Press 3 to speak with a sales representative.",3
"For support, press 6. If you need quotes, please press 1.",1
"technical support department can be reached by pressing 7. complaints inquiries, please press #. sales inquiries, please press 6.",6
"If you need support, please press 1. for any else inquiries, please press 7.",7
"support inquiries, please press 6. For technical support, press 3. complaints department can be reached by pressing 8. Press 2 to speak with a billing representative. for any else inquiries, please press 4.",4
"returns inquiries, please press 1. Press # to speak with a technical support representative. If you need representatives, please press 6.",6
"complaints inquiries, please press 0. If you need returns, please press 6. support department can be reached by pressing *. If you need representatives, please press 3.",3
support department can be reached by pressing 0. Press 1 to speak with a technical support representative. estimates department can be reached by pressing 3.,3
"For technical support, press 4. For support, press 5. complaints department can be reached by pressing 1. Press 0 to speak with a reservations representative.",0
"billing department can be reached by pressing #. Press 9 to speak with a support representative. technical support inquiries, please press 5. If you need sales, please press 8.",8
"Press 3 to speak with a returns representative. If you need estimates, please press 6.",6
"technical support inquiries, please press 4. Press 2 to speak with a returns representative. Press 6 to speak with a billing representative. complaints inquiries, please press 3. estimates department can be reached by pressing #.",#
"billing department can be reached by pressing 4. support department can be reached by pressing 2. Press 7 to speak with a returns representative. technical support inquiries, please press 5. customer support inquiries, please press 8.",8
"billing inquiries, please press 9. complaints inquiries, please press 5. estimates inquiries, please press 2.",2
"If you need returns, please press 4. quotes department can be reached by pressing 0.",0
"If you need returns, please press 5. Press 2 to speak with a billing representative. support inquiries, please press 3. technical support inquiries, please press 9. quotes inquiries, please press 6.",6
"Press 7 to speak with a technical support representative. estimates inquiries, please press 6.",6
"If you need complaints, please press 1. returns inquiries, please press *. If you need billing, please press 6. Press 9 to speak with a support representative. customer support department can be reached by pressing 3.",3
"If you need technical support, please press 1. If you need complaints, please press 9. estimates inquiries, please press 8.",8
"billing inquiries, please press 6. For support, press 5. returns department can be reached by pressing 1. quotes inquiries, please press 0.",0
"For returns, press #. complaints inquiries, please press 5. If you need sales, please press 0.",0
"Press 2 to speak with a support representative. complaints department can be reached by pressing 3. If you need technical support, please press 8. For returns, press #. sales department can be reached by pressing 0.",0
"returns department can be reached by pressing 3. billing department can be reached by pressing *. technical support department can be reached by pressing 8. If you need estimates, please press 9.",9
"If you need returns, please press 0. For technical support, press 6. If you need representatives, please press 5.",5
"For billing, press 7. Press 0 to speak with a returns representative. complaints department can be reached by pressing #. If you need technical support, please press 1. Press 8 to speak with a reservations representative.",8
"If you need support, please press 8. Press 1 to speak with a complaints representative. billing inquiries, please press 9. For technical support, press 4. For sales, press 6.",6
"If you need technical support, please press 4. For complaints, press 8. For estimates, press #.",#
"support inquiries, please press 9. If you need returns, please press 1. Press 5 to speak with a technical support representative. billing inquiries, please press #. If you need representatives, please press 2.",2
"support department can be reached by pressing 0. Press 4 to speak with a billing representative. customer support inquiries, please press 8.",8
"If you need support, please press 0. Press 4 to speak with a technical support representative. for any else inquiries, please press #.",#
Press 3 to speak with a support representative. Press 6 to speak with a estimates representative.,6
"Press 2 to speak with a support representative. If you need technical support, please press *. complaints inquiries, please press 5. Press 3 to speak with a estimates representative.",3
"support department can be reached by pressing 3. returns inquiries, please press 6. billing department can be reached by pressing *. For representatives, press 8.",8
"If you need returns, please press 2. Press 6 to speak with a complaints representative. technical support department can be reached by pressing 0. customer support department can be reached by pressing 7.",7
"If you need support, please press 5. billing inquiries, please press #. complaints department can be reached by pressing *. If you need estimates, please press 8.",8
technical support department can be reached by pressing 6. reservations department can be reached by pressing 1.,1
"Press * to speak with a billing representative. If you need complaints, please press 2. representatives department can be reached by pressing 5.",5
"billing department can be reached by pressing 0. If you need technical support, please press 8. For support, press 7. returns inquiries, please press 4. customer support inquiries, please press 1.",1
"If you need technical support, please press *. If you need representatives, please press #.",#
"If you need billing, please press 3. technical support inquiries, please press 4. For complaints, press 0. sales department can be reached by pressing 6.",6
"billing inquiries, please press 4. support department can be reached by pressing 0. Press 7 to speak with a complaints representative. returns inquiries, please press 3. Press 9 to speak with a for any else representative.",9
"Press 8 to speak with a billing representative. complaints department can be reached by pressing 4. technical support department can be reached by pressing 5. For estimates, press 1.",1
"Press 8 to speak with a billing representative. complaints department can be reached by pressing 9. returns inquiries, please press 6. If you need estimates, please press *.",*
returns department can be reached by pressing 4. quotes department can be reached by pressing *.,*
"If you need technical support, please press 0. support inquiries, please press 3. For complaints, press 5. returns inquiries, please press *. For for any else, press 6.",6
"returns inquiries, please press 0. for any else inquiries, please press 5.",5
"For returns, press 0. If you need support, please press 7. Press 3 to speak with a technical support representative. complaints inquiries, please press 6. For estimates, press #.",#
"Press 7 to speak with a technical support representative. If you need returns, please press *. support department can be reached by pressing 2. quotes inquiries, please press 9.",9
"support department can be reached by pressing *. If you need returns, please press 5. complaints department can be reached by pressing 0. If you need reservations, please press 9.",9
"Press 0 to speak with a billing representative. for any else inquiries, please press 1.",1
Press 9 to speak with a billing representative. Press 0 to speak with a for any else representative.,0
"billing department can be reached by pressing 9. For returns, press 8. Press 7 to speak with a support representative. customer support inquiries, please press *.",*
"Press 7 to speak with a billing representative. If you need returns, please press 1. If you need sales, please press 5.",5
"complaints department can be reached by pressing #. billing inquiries, please press 9. If you need returns, please press 0. If you need support, please press 8. For representatives, press 1.",1
"returns inquiries, please press 9. technical support department can be reached by pressing *. If you need sales, please press 7.",7
"If you need complaints, please press 4. Press 2 to speak with a billing representative. For technical support, press #. For returns, press *. For reservations, press 6.",6
"billing department can be reached by pressing 2. If you need technical support, please press 7. For complaints, press 1. Press 4 to speak with a quotes representative.",4
"For returns, press 3. support inquiries, please press *. If you need reservations, please press 4.",4
"For support, press 5. technical support inquiries, please press *. For billing, press 4. If you need complaints, please press 0. representatives department can be reached by pressing #.",#
"complaints inquiries, please press 3. reservations department can be reached by pressing 5.",5
"technical support inquiries, please press 7. For billing, press 8. For customer support, press 2.",2
"For support, press 6. For billing, press 8. sales department can be reached by pressing 5.",5
"returns department can be reached by pressing 9. For reservations, press #.",#
"billing department can be reached by pressing 9. Press 8 to speak with a complaints representative. Press 7 to speak with a returns representative. reservations inquiries, please press 4.",4
"returns inquiries, please press 1. If you need billing, please press 2. For support, press 9. technical support department can be reached by pressing 6. Press 4 to speak with a quotes representative.",4
"billing inquiries, please press 0. for any else inquiries, please press 9.",9
"billing inquiries, please press #. complaints inquiries, please press 5. technical support inquiries, please press 9. estimates department can be reached by pressing 1.",1
Press 0 to speak with a returns representative. Press 5 to speak with a complaints representative. sales department can be reached by pressing 9.,9
"Press 2 to speak with a support representative. For complaints, press 5. For billing, press 8. Press 3 to speak with a returns representative. For sales, press 0.",0
"returns inquiries, please press 1. For technical support, press #. For complaints, press 4. customer support department can be reached by pressing 9.",9
"For returns, press 9. If you need technical support, please press 4. support department can be reached by pressing 6. complaints inquiries, please press 8. estimates inquiries, please press *.",*
complaints department can be reached by pressing 3. support department can be reached by pressing #. Press 7 to speak with a customer support representative.,7
"Press 6 to speak with a support representative. For complaints, press 2. If you need returns, please press 3. technical support inquiries, please press 0. If you need reservations, please press #.",#
"billing inquiries, please press 4. customer support department can be reached by pressing #.",#
"For technical support, press 0. returns inquiries, please press 3. Press 7 to speak with a customer support representative.",7
"Press 6 to speak with a complaints representative. sales inquiries, please press 3.",3
"returns inquiries, please press 9. technical support department can be reached by pressing 4. complaints department can be reached by pressing 1. billing inquiries, please press 6. for any else department can be reached by pressing 3.",3
"If you need complaints, please press *. Press 5 to speak with a returns representative. technical support department can be reached by pressing 7. Press 9 to speak with a customer support representative.",9
"billing department can be reached by pressing *. For returns, press 8. Press 5 to speak with a for any else representative.",5
"complaints department can be reached by pressing 4. returns department can be reached by pressing 1. billing inquiries, please press 2. Press 9 to speak with a support representative. If you need reservations, please press 7.",7
"complaints department can be reached by pressing 4. support department can be reached by pressing 9. representatives inquiries, please press 3.",3
"For complaints, press 1. billing inquiries, please press 3. Press 6 to speak with a returns representative. If you need reservations, please press *.",*
"If you need billing, please press *. technical support inquiries, please press 5. Press 7 to speak with a returns representative. complaints inquiries, please press 9. For customer support, press 6.",6
"If you need billing, please press *. complaints department can be reached by pressing 0. If you need technical support, please press 2. For sales, press 1.",1
"returns department can be reached by pressing 4. technical support department can be reached by pressing 6. Press 9 to speak with a billing representative. For complaints, press 1. representatives inquiries, please press *.",*
"For billing, press 7. technical support inquiries, please press 0. complaints department can be reached by pressing 8. returns department can be reached by pressing 9. reservations inquiries, please press 2.",2
"For technical support, press 0. billing department can be reached by pressing 8. complaints department can be reached by pressing 4. for any else department can be reached by pressing 5.",5
"Press 7 to speak with a billing representative. If you need complaints, please press 5. For sales, press *.",*
"technical support inquiries, please press 7. complaints department can be reached by pressing 2. Press # to speak with a returns representative. Press 8 to speak with a reservations representative.",8
"complaints department can be reached by pressing 8. support inquiries, please press 6. If you need sales, please press #.",#
"For technical support, press 0. billing inquiries, please press *. For returns, press 6. Press 1 to speak with a estimates representative.",1
"For billing, press 7. returns inquiries, please press *. For reservations, press 8.",8
"technical support inquiries, please press 1. customer support department can be reached by pressing 4.",4
Press 0 to speak with a support representative. Press * to speak with a for any else representative.,*
"For support, press 0. complaints inquiries, please press 9. For technical support, press 2. reservations inquiries, please press 1.",1
"For returns, press #. Press 6 to speak with a reservations representative.",6
"support department can be reached by pressing 6. technical support inquiries, please press 7. If you need returns, please press 9. for any else department can be reached by pressing *.",*
"complaints department can be reached by pressing 7. For billing, press 6. Press 0 to speak with a reservations representative.",0
"If you need returns, please press 1. Press 0 to speak with a support representative. complaints department can be reached by pressing 7. For technical support, press 9. customer support department can be reached by pressing 4.",4
"If you need returns, please press 1. For support, press 2. If you need billing, please press 9. Press * to speak with a technical support representative. customer support department can be reached by pressing 5.",5
"If you need support, please press 0. If you need returns, please press *. Press 1 to speak with a billing representative. technical support inquiries, please press 5. If you need estimates, please press 4.",4
"technical support department can be reached by pressing 8. Press 7 to speak with a billing representative. If you need sales, please press *.",*
"Press * to speak with a complaints representative. estimates inquiries, please press 0.",0
complaints department can be reached by pressing 2. estimates department can be reached by pressing 7.,7
"For complaints, press 9. customer support department can be reached by pressing 3.",3
"For returns, press 7. For complaints, press #. If you need billing, please press 9. technical support inquiries, please press 6. representatives department can be reached by pressing 8.",8
"returns inquiries, please press *. Press 5 to speak with a billing representative. If you need technical support, please press 2. support inquiries, please press 7. reservations inquiries, please press 8.",8
"support department can be reached by pressing 2. If you need customer support, please press 5.",5
"If you need returns, please press 6. If you need billing, please press #. For support, press 9. representatives inquiries, please press 4.",4
"For support, press 2. If you need complaints, please press 7. For billing, press 9. technical support department can be reached by pressing #. If you need quotes, please press *.",*
"For technical support, press 0. billing inquiries, please press 1. reservations department can be reached by pressing 5.",5
"For support, press 8. technical support inquiries, please press 3. complaints inquiries, please press 5. For returns, press 0. If you need customer support, please press 1.",1
"If you need complaints, please press 6. For technical support, press 5. quotes department can be reached by pressing #.",#
"billing department can be reached by pressing 7. complaints department can be reached by pressing 5. support department can be reached by pressing 0. customer support inquiries, please press 1.",1
"If you need technical support, please press 2. returns department can be reached by pressing 9. If you need quotes, please press 8.",8
"support inquiries, please press 1. for any else inquiries, please press *.",*
"returns department can be reached by pressing 4. representatives inquiries, please press 0.",0
"If you need billing, please press 0. support department can be reached by pressing 4. complaints inquiries, please press 6. For for any else, press 9.",9
"complaints inquiries, please press 3. billing department can be reached by pressing 7. returns inquiries, please press 1. customer support inquiries, please press 6.",6
"billing department can be reached by pressing #. For returns, press 9. Press 0 to speak with a support representative. Press 3 to speak with a technical support representative. estimates department can be reached by pressing 1.",1
"For technical support, press 4. If you need billing, please press 9. support inquiries, please press 3. sales department can be reached by pressing 2.",2
"For support, press 1. returns inquiries, please press 9. For billing, press 6. Press 4 to speak with a customer support representative.",4
"Press 4 to speak with a complaints representative. If you need reservations, please press 3.",3
"Press 6 to speak with a returns representative. If you need support, please press #. technical support department can be reached by pressing 8. If you need complaints, please press 4. for any else inquiries, please press 9.",9
"Press 3 to speak with a technical support representative. support department can be reached by pressing 4. sales inquiries, please press 6.",6
"billing department can be reached by pressing 5. If you need returns, please press 2. If you need support, please press 4. For technical support, press 0. For quotes, press 6.",6
"Press 7 to speak with a billing representative. quotes inquiries, please press 6.",6
"If you need support, please press #. Press 4 to speak with a complaints representative. returns department can be reached by pressing *. If you need for any else, please press 0.",0
"For complaints, press 5. Press 9 to speak with a returns representative. Press 1 to speak with a support representative. For technical support, press 0. for any else department can be reached by pressing *.",*
"For support, press 8. For reservations, press *.",*
support department can be reached by pressing 9. technical support department can be reached by pressing 1. customer support department can be reached by pressing 6.,6
"If you need technical support, please press 1. For support, press 2. If you need returns, please press 3. Press 4 to speak with a billing representative. reservations department can be reached by pressing 7.",7
"If you need billing, please press 0. technical support department can be reached by pressing 8. If you need complaints, please press 2. For returns, press 1. Press # to speak with a reservations representative.",#
"Press 0 to speak with a billing representative. If you need support, please press 9. If you need returns, please press *. If you need technical support, please press 8. For for any else, press 7.",7
"For technical support, press 1. support department can be reached by pressing 9. If you need billing, please press 4. For complaints, press 6. representatives inquiries, please press 3.",3
"support inquiries, please press 8. complaints department can be reached by pressing 0. If you need quotes, please press 3.",3
"For technical support, press 9. For support, press 0. billing inquiries, please press 1. complaints inquiries, please press 7. If you need representatives, please press 4.",4
"technical support inquiries, please press 4. If you need complaints, please press 5. returns inquiries, please press 9. Press * to speak with a for any else representative.",*
"For complaints, press 1. for any else department can be reached by pressing 5.",5
"Press * to speak with a billing representative. Press 4 to speak with a technical support representative. For returns, press 8. For complaints, press 9. sales inquiries, please press 7.",7
"For billing, press 7. Press 0 to speak with a technical support representative. reservations inquiries, please press *.",*
"billing inquiries, please press 4. Press # to speak with a returns representative. technical support department can be reached by pressing 1. For support, press 7. quotes inquiries, please press 9.",9
"If you need technical support, please press 5. If you need returns, please press 3. billing department can be reached by pressing 6. For complaints, press 1. representatives inquiries, please press 9.",9
"support department can be reached by pressing 2. reservations inquiries, please press 3.",3
"Press # to speak with a complaints representative. billing inquiries, please press 6. support department can be reached by pressing 4. If you need returns, please press 2. representatives department can be reached by pressing 1.",1
"For technical support, press 1. returns department can be reached by pressing 6. Press 0 to speak with a complaints representative. For for any else, press #.",#
"For returns, press 0. Press # to speak with a technical support representative. Press 8 to speak with a customer support representative.",8
"If you need support, please press 5. Press 7 to speak with a sales representative.",7
"support inquiries, please press 6. If you need billing, please press 8. returns department can be reached by pressing 5. Press 3 to speak with a reservations representative.",3
"If you need complaints, please press 4. billing inquiries, please press 5. If you need returns, please press 3. Press 1 to speak with a support representative. For sales, press #.",#
"complaints department can be reached by pressing *. support inquiries, please press 8. If you need technical support, please press 4. reservations inquiries, please press 0.",0
"technical support department can be reached by pressing 1. returns inquiries, please press 8. support inquiries, please press 5. For complaints, press 4. Press 2 to speak with a reservations representative.",2
"technical support inquiries, please press *. If you need returns, please press 4. For complaints, press 9. If you need customer support, please press 6.",6
"support inquiries, please press 0. reservations department can be reached by pressing 1.",1
"If you need complaints, please press 5. If you need quotes, please press 8.",8
"billing department can be reached by pressing 3. For complaints, press 8. returns department can be reached by pressing 6. For for any else, press 5.",5
"If you need support, please press 5. for any else inquiries, please press 4.",4
Press 0 to speak with a returns representative. Press 7 to speak with a billing representative. Press * to speak with a sales representative.,*
"For technical support, press 4. For returns, press *. billing department can be reached by pressing 9. Press 8 to speak with a support representative. For customer support, press #.",#
"billing inquiries, please press 0. technical support department can be reached by pressing 5. For customer support, press 2.",2
"technical support department can be reached by pressing 9. complaints inquiries, please press #. returns inquiries, please press 5. For representatives, press 0.",0
"If you need complaints, please press 9. For representatives, press 1.",1
"If you need returns, please press 7. support inquiries, please press 8. For complaints, press 3. Press # to speak with a technical support representative. for any else inquiries, please press 0.",0
"support department can be reached by pressing 5. Press 7 to speak with a returns representative. For billing, press 8. Press 9 to speak with a technical support representative. Press 4 to speak with a estimates representative.",4
"billing department can be reached by pressing 4. support inquiries, please press 1. For for any else, press 3.",3
"For billing, press 2. Press 7 to speak with a returns representative. For complaints, press *. support department can be reached by pressing 8. customer support department can be reached by pressing 6.",6
"If you need support, please press 6. technical support department can be reached by pressing 8. For billing, press 2. Press # to speak with a quotes representative.",#
"Press 9 to speak with a technical support representative. If you need complaints, please press 7. returns department can be reached by pressing 5. support inquiries, please press 0. Press 8 to speak with a for any else representative.",8
"returns department can be reached by pressing 1. customer support inquiries, please press #.",#
"technical support inquiries, please press 5. for any else inquiries, please press 6.",6
Press 4 to speak with a support representative. for any else department can be reached by pressing 3.,3
"For billing, press 0. quotes department can be reached by pressing 9.",9
"If you need technical support, please press 5. Press 1 to speak with a complaints representative. If you need sales, please press 9.",9
"support department can be reached by pressing 3. For technical support, press #. billing department can be reached by pressing 7. Press 0 to speak with a returns representative. For customer support, press *.",*
"For technical support, press 6. Press 5 to speak with a sales representative.",5
"Press 0 to speak with a returns representative. For support, press 6. Press 5 to speak with a technical support representative. billing inquiries, please press 1. If you need representatives, please press 2.",2
"If you need billing, please press #. technical support inquiries, please press 9. complaints inquiries, please press 0. Press 3 to speak with a support representative. If you need customer support, please press 7.",7
Press 2 to speak with a complaints representative. Press 3 to speak with a estimates representative.,3
"If you need billing, please press 4. representatives inquiries, please press *.",*
"technical support inquiries, please press 6. If you need complaints, please press #. For returns, press 1. customer support department can be reached by pressing 9.",9
"Press 3 to speak with a support representative. sales inquiries, please press #.",#
"For support, press 1. For technical support, press 2. For complaints, press 0. billing department can be reached by pressing 3. quotes department can be reached by pressing 6.",6
"If you need support, please press 6. If you need billing, please press 2. quotes department can be reached by pressing 0.",0
"For billing, press 4. Press 3 to speak with a returns representative. complaints department can be reached by pressing *. support department can be reached by pressing 1. Press 8 to speak with a quotes representative.",8
"Press 8 to speak with a technical support representative. If you need reservations, please press 0.",0
"Press 7 to speak with a complaints representative. If you need technical support, please press *. For estimates, press 6.",6
"For complaints, press 9. sales inquiries, please press #.",#
"billing inquiries, please press 0. If you need support, please press 3. customer support inquiries, please press 1.",1
"billing department can be reached by pressing 1. returns department can be reached by pressing 6. If you need complaints, please press 4. If you need estimates, please press 0.",0
"If you need technical support, please press 8. customer support department can be reached by pressing *.",*
"If you need billing, please press 7. Press 0 to speak with a returns representative. Press 4 to speak with a technical support representative. for any else inquiries, please press 1.",1
"billing inquiries, please press 3. support inquiries, please press #. If you need quotes, please press 0.",0
"If you need support, please press 9. Press 6 to speak with a reservations representative.",6
"billing inquiries, please press 2. support department can be reached by pressing 0. Press # to speak with a customer support representative.",#
"If you need complaints, please press 8. support inquiries, please press 6. Press 1 to speak with a returns representative. For for any else, press 9.",9
"billing inquiries, please press 9. For complaints, press 6. technical support inquiries, please press 4. sales inquiries, please press 1.",1
"complaints department can be reached by pressing 7. technical support inquiries, please press 8. Press 6 to speak with a returns representative. estimates department can be reached by pressing 5.",5
"support inquiries, please press 4. For billing, press 0. technical support inquiries, please press 6. For estimates, press 8.",8
support department can be reached by pressing 6. technical support department can be reached by pressing 5. Press 7 to speak with a billing representative. reservations department can be reached by pressing 0.,0
"Press 5 to speak with a technical support representative. For billing, press 7. Press 1 to speak with a support representative. If you need complaints, please press #. customer support inquiries, please press 2.",2
returns department can be reached by pressing 8. estimates department can be reached by pressing 5.,5
"For returns, press 9. Press 7 to speak with a complaints representative. Press 0 to speak with a support representative. For representatives, press 3.",3
"If you need complaints, please press 3. For returns, press 0. If you need billing, please press *. technical support department can be reached by pressing #. Press 6 to speak with a estimates representative.",6
"complaints inquiries, please press 1. representatives department can be reached by pressing 7.",7
"complaints department can be reached by pressing 7. If you need support, please press 0. Press 8 to speak with a returns representative. Press 9 to speak with a reservations representative.",9
Press * to speak with a billing representative. for any else department can be reached by pressing 2.,2
"If you need support, please press 0. For returns, press 8. complaints inquiries, please press 9. Press 7 to speak with a billing representative. Press 6 to speak with a representatives representative.",6
"For technical support, press 1. Press 5 to speak with a returns representative. For complaints, press 2. support department can be reached by pressing 9. representatives department can be reached by pressing 3.",3
"complaints department can be reached by pressing 7. returns inquiries, please press 6. If you need support, please press 5. billing inquiries, please press 0. For customer support, press 9.",9
"If you need returns, please press 6. Press 1 to speak with a support representative. For technical support, press 8. representatives department can be reached by pressing 9.",9
"Press # to speak with a technical support representative. billing department can be reached by pressing 1. If you need quotes, please press 6.",6
Press 1 to speak with a billing representative. quotes department can be reached by pressing 4.,4
"For complaints, press #. Press 1 to speak with a technical support representative. returns inquiries, please press 7. Press * to speak with a quotes representative.",*
"If you need complaints, please press #. If you need technical support, please press 9. Press 1 to speak with a support representative. returns inquiries, please press 7. For sales, press 4.",4
"support inquiries, please press 6. For billing, press *. estimates inquiries, please press 9.",9
"For billing, press 9. technical support department can be reached by pressing 0. Press 7 to speak with a complaints representative. For returns, press 3. representatives inquiries, please press #.",#
"If you need technical support, please press 8. For support, press 2. Press 4 to speak with a complaints representative. for any else department can be reached by pressing 9.",9
"returns department can be reached by pressing 1. technical support inquiries, please press 6. complaints department can be reached by pressing 7. For for any else, press #.",#
"billing department can be reached by pressing #. If you need returns, please press 1. technical support department can be reached by pressing 8. For sales, press 6.",6
"If you need technical support, please press 8. billing department can be reached by pressing 4. complaints department can be reached by pressing #. for any else department can be reached by pressing 7.",7
"complaints department can be reached by pressing *. For billing, press #. If you need technical support, please press 5. returns department can be reached by pressing 9. If you need estimates, please press 8.",8
"complaints inquiries, please press 4. technical support inquiries, please press 2. For sales, press 6.",6
"For billing, press 1. Press 7 to speak with a quotes representative.",7
